Id;Name;Email;Phone;Age;City;Street;Tag;Price;CustomerId;ProductId
24;Юлия Гурьева;Aleksei64@yahoo.com;(982)602-32-14;24;Чебоксары;проспект Спортивная;Шарф;800;e8a56BaPZvyG;GB46SAPZ49624309004992
25;Ярослав Артемьев;Egor_Guseva@ya.ru;(995)080-07-28;15;Барнаул;пр. Полевая;Плащ;1555;5wWIe100yeUD;BH50XJVBL650WET042
26;Галина Рожкова;Klavdiya30@hotmail.com;(989)319-83-31;23;Астрахань;пл. Свободы;Ботинок;1500;mTy21JIaYFTk;BE69713205500155
28;Григорий Селиверстов;Mikhail24@yandex.ru;(930)800-38-94;16;Чебоксары;площадь Чкалова;Куртка;25000;WaKUoI8chO;4389H7TA8C90GR235A0073
29;Анатолий Пономарев;Georgii.Tikhonova18@ya.ru;(949)581-35-88;65;Курск;площадь Совхозная;Компьютер;235000;EbUdr58oCv3;CR47731
30;Евгения Рыбакова;Arsenii10@yandex.ru;(970)358-87-02;19;Магнитогорск;Кирова площадь;Майка;1500;vMVV4545;GR70536221250E6C630
31;Георгий Громов;Elizaveta53@hotmail.com;(979)102-43-88;14;Кемерово;Озерная пр.;Клатч;20000;H4QAjigX45hoq;120018291030901661G4
32;Тамара Калинина;Andrei42@yahoo.com;(988)202-39-96;17;Москва;площадь Шоссейная;Кепка;680;210F12jKzS3;FR500174C241620I3762
33;Андрей Ермаков;Nikita_Belyaev@ya.ru;(941)813-77-44;22;Москва;проспект Космонавтов;Кошелек;500;tW9JcKo231FZB;MBG6000210592014CRW
34;Антон Блинов;Vladimir.Kononova41@yandex.ru;(992)101-88-80;29;Ижевск;ул. речень улиц;Кулон;3600;r945s9Stwc1c;PK921070789857008
35;Вероника Беляева;Matvei_Fedorov10@yandex.ru;(921)975-58-55;26;Воронеж;Дорожная пл.;Ремень;1305;7x456qI8O7i0a;GZ2W16209M0D6
36;Алексей Беляев;Marina16@yahoo.com;(916)678-86-21;28;Саратов;Ленина проспект;Куртка;60000;J2OoC45fJqXt;KZ038407911362398394
37;Виктория Павлова;VarvaraTeterina62@yahoo.com;(915)849-85-72;45;Тюмень;проспект Матросова;Майка;500;XfQy456ST2fgB;BG14LZRB3200206PIS
38;Андрей Кононов;Eduard73@yandex.ru;(949)030-55-47;45;Чебоксары;улица Лесной;Берет;1500;O1SF45HhkGNN;ME365983326
39;Елизавета Панфилова;Angelina_Novikov85@ya.ru;(924)279-85-56;42;Махачкала;ул. Комсомольская;Ножницы;200;KUClJ457vp3vz;AT4724CR2491306
40;Валерия Петухова;Valeriya.Gavrilova@yandex.ru;(944)525-08-27;52;Москва;Молодежная улица;Компьютер;84000;cd6Zj6445jJHs;AZ323692003978013
41;Герман Колобов;Angelina67@yahoo.com;(905)557-86-54;62;Рязань;площадь Трактовая;Кепка;600;wu45457VUlQicr;FI7970037290348454
42;Светлана Орлова;g0orc3x1@outlook.com;dcu@yandex.ru;33;Купино;улица Савушкина;Миксер;7035;e3KuCFEVJA;WF4szQAoX1
43;София Соколова;we3l08z5@gmail.com;93@outlook.com;65;Казань;Первомайский, переулок;Мяч;15538;PJ16ll0qB6;WF4szQAoX1
44;Даниэль Антонов;8edmfh@outlook.com;5iar3l8k@yandex.ru;24;Новосибирск;Первомайский, переулок;Кошелек;10967;PqHkPqjdCo;7wzy2yCeSh
45;Степан Токарев;8lf0g@yandex.ru;x@mail.ru;65;Светлоград;Зеленая улица;Cтол;3522;YMaDWARXCs;3diu2aA0Z3
46;Даниэль Антонов;o@outlook.com;5iar3l8k@yandex.ru;39;Москва;Советская улица;Миксер;27190;kouBHXcr3x;hP8WQqHg7b
47;Софья Филатова;we3l08z5@gmail.com;we3l08z5@gmail.com;68;Купино;Советская улица;Футболка;10170;ROAUqyUWmj;hP8WQqHg7b
48;Софья Филатова;o@outlook.com;93@outlook.com;18;Ртищево;Советская улица;Плащ;5843;fpLMh2b66y;4aTdaSm1bQ
49;Егор Андреев;x@mail.ru;93@outlook.com;16;Новосибирск;площадь Европы;Джинсы;17408;cpi707rfTs;hXUcRaHTjp
50;Светлана Орлова;1zx8@yandex.ru;opu@outlook.com;54;Чебоксары;Ленинская улица;Носки;14117;2pty0KLAle;4aTdaSm1bQ
51;Степан Токарев;o@outlook.com;8lf0g@yandex.ru;37;Орехов;Советская улица;Мяч;22355;fNWeD1P5vT;Bu94TOQJrI
52;Таисия Медведева;4zegxla@mail.ru;34d@gmail.com;30;Купино;Оборонная улица;Ножницы;9235;fNWeD1P5vT;tj65mBa6bz
53;Ева Ушакова;dcu@yandex.ru;281av0@gmail.com;46;Астрахань;Московская улица;Крем;2265;2wxbyknCIN;Bu94TOQJrI
54;Даниэль Антонов;pa5h@mail.ru;kaft93x@outlook.com;66;Купино;Советская улица;Кошелек;19727;B4qEbSY4MO;TthdazNLtW
55;Варвара Маслова;opu@outlook.com;4zegxla@mail.ru;16;Уфа;Зеленая улица;Плащ;18029;8a97GF1BfX;VHenVa7dUH
56;Варвара Маслова;8lf0g@yandex.ru;pa5h@mail.ru;60;Ртищево;улица Савушкина;Кошелек;3104;3Ic3trRyA0;VHenVa7dUH
57;Елизавета Кошелева;pa5h@mail.ru;x@mail.ru;20;Новосибирск;Оборонная улица;Джинсы;16084;JbVnvbpPY8;Ucg5kDwChN
58;Егор Андреев;8lf0g@yandex.ru;34d@gmail.com;64;Москва;улица Савушкина;Очки;3457;IqdmnjogpZ;zzML9NovC2
59;Егор Андреев;34d@gmail.com;pa5h@mail.ru;58;Орехов;Калужская улица;Шарф;20292;yRZaSaFwOe;y3yScPjBhh
60;Софья Филатова;opu@outlook.com;4zegxla@mail.ru;29;Москва;Павелецкая набережная;Холодильник;10684;F2wQju0cl6;xofkYc1SXY
61;Даниэль Антонов;o@outlook.com;pa5h@mail.ru;58;Казань;Зеленая улица;Ножницы;12384;oMViIbzAAn;rhpASWfkYN
62;Варвара Маслова;rv7bp@gmail.com;281av0@gmail.com;14;Москва;Московская улица;Клатч;6265;F2wQju0cl6;aXanN6fnz2
63;Софья Филатова;opu@outlook.com;5iar3l8k@yandex.ru;38;Хорлово;Калужская улица;Миксер;4671;Zxmgxwbl7x;5S12zgnPrU
64;Ева Ушакова;x@mail.ru;8edmfh@outlook.com;56;Новосибирск;площадь Европы;Миксер;8155;W3p5TBgagn;70z7zXiWgv
65;Маргарита Лукьянова;o@outlook.com;rv7bp@gmail.com;26;Москва;Зеленая улица;Ножницы;8748;kGHPuSr2wD;GCNJ7NuRZS
66;Валерия Смирнова;8edmfh@outlook.com;sfn13i@mail.ru;16;Хорлово;Павелецкая набережная;Стул;8848;4NKo9mBSIM;mbjlPLCfec
67;Даниэль Антонов;sfn13i@mail.ru;dcu@yandex.ru;15;Астрахань;улица Савушкина;Футболка;20319;e2AbJdPPO7;BGqWYRIusw
68;Вероника Лапина;q4as80@outlook.com;19dn@outlook.com;61;Астрахань;Павелецкая набережная;Крем;25185;e2AbJdPPO7;mbjlPLCfec
69;Егор Мусин;dmitrii_matrix@gmail.ru;(900)672-00-05;29;Воронеж;Рязанский проспект;Чеснокодавилка;360;C5Z2i9Q4SCX;HyOB0snHd37
70;Алексей Сидоров;evniwoc_lexa@mail.com;(900)672-00-05;80;Казань;Рязанский проспект;Миксер;650;O6OHP8Pe4UU;ZVf3XT02uwS
71;Владимир Редков;maria_popit@yandeks.ru;(901)672-91-83;19;Обнинск;проспект Маркса;Миксер;900;h4bj3ZJpXx9;s7Hi2F0la3g
72;Владимир Редков;evniwoc_lexa@mail.com;(957)205-43-77;19;Москва;проспект Маркса;Миксер;9300;jt0tn0sqLrE;1KHOhmvMI12
73;Алексей Сидоров;egor_musin@yandex.ru;(900)612-82-05;28;Североморск;проспект Ленина;Обруч;12000;h4bj3ZJpXx9;ZVf3XT02uwS
74;Дмитрий Позов;rvshershnev_23@mail.ru;(907)031-94-05;55;Екатеринбург;бульвар Победы;Наушники;900;C5Z2i9Q4SCX;e7QDZYAJUQv
75;Ксения Чемлекчиева;evniwoc_lexa@mail.com;(957)964-02-66;47;Протвино;Лесной бульвар;Переноска;3990;MFXXK9j03hZ;Qdp734yZmsD
76;Дмитрий Синицкий;economica_onelove@mail.ru;(929)438-43-05;57;Казань;проспект Маркса;Вечернее платье;8200;jt0tn0sqLrE;ZVf3XT02uwS
77;Ксения Чемлекчиева;kambridge_al666@mail.ru;(900)672-00-05;55;Оболенск;улица Пушкинская;Обруч;360;7C3e1oyQZAZ;EhqvKyU2j8M
78;Владимир Артемьев;eg_palma14@iate.ru;(967)992-43-15;22;Екатеринбург;улица Студгородок;Обруч;9225;46iSzrfVwNf;oz9frv4qocV
79;Владимир Редков;evniwoc_lexa@mail.com;(900)612-82-05;21;Североморск;проспект Маркса;Клавиатура;290;7C3e1oyQZAZ;Mli7UzI4qBE
80;Егор Черемисинов;eg_palma14@iate.ru;(900)612-82-05;21;Оболенск;улица Студгородок;Наушники;9300;iPWf5EcUY1a;rYz7hf40rWq
81;Владимир Артемьев;eg_palma14@iate.ru;(911)112-43-05;22;Калуга;улица Студгородок;Самокат;20000;9mVuA27BWig;OiP2Yw8XH8W
82;Егор Черемисинов;dimasik_poz@ixbox.ru;(929)438-43-05;21;Санкт-Петербург;Фестивальный проезд;Клавиатура;8900;brN5Hg0nhCa;88oUfL0DrFB
83;Елена Кобылина;evniwoc_lexa@mail.com;(901)672-91-83;17;Обнинск;Рязанский проспект;Миксер;3777;9mVuA27BWig;oz9frv4qocV
84;Дмитрий Позов;dmitrii_matrix@gmail.ru;(901)672-91-83;55;Протвино;бульвар Победы;Коврик для мышки;12000;7C3e1oyQZAZ;OiP2Yw8XH8W
85;Глеб Фирсов;o@outlook.com;dcu@yandex.ru;59;Астрахань;Московская улица;Очки;11688;rgRfK7BXPg;fH2ICSUDbO
86;Софья Филатова;93@outlook.com;93@outlook.com;45;Казань;улица Савушкина;Носки;8477;pYI2NijiVh;YoSdAqzRSZ
87;Степан Токарев;8lf0g@yandex.ru;q4as80@outlook.com;60;Орехов;Кавказский бульвар;Очки;22466;f1jO9TDYLS;Xc7vesowlW
88;Егор Андреев;g0orc3x1@outlook.com;x@mail.ru;36;Ртищево;Миглинская улица;Кошелек;26303;Ek19S3it8q;fvVXAandvZ
89;Артемий Назаров;sfn13i@mail.ru;we3l08z5@gmail.com;35;Уфа;площадь Европы;Клатч;6504;RSlumdq9do;3SDLQvU1lF
90;Таисия Медведева;opu@outlook.com;281av0@gmail.com;29;Орехов;улица Савушкина;Ножницы;2784;Gic4QyL7XK;aCjR41sjQ0
